2026-08-09 19:05:32,601 [INFO] Log file: data\options\us_options_20260809_190532.log
2026-08-09 19:05:32,611 [INFO] Univers chargé : 503 tickers.
2026-08-09 19:05:35,119 [INFO] Filtre de valorisation : 57/503 entreprises avec un écart cours/valeur théorique >= 20% (sur 63 entreprises avec un DCF calculé, 503 dans l'univers fourni).
2026-08-09 19:05:35,121 [INFO] Alpha Vantage désactivé (ALPHAVANTAGE_API_KEY non définie) : repli Black-Scholes local uniquement pour l'IV/greeks. Clé gratuite : https://www.alphavantage.co/support/#api-key
2026-08-09 19:05:35,122 [INFO] Connecting to 127.0.0.1:4002 with clientId 1...
2026-08-09 19:05:35,123 [INFO] Connected
2026-08-09 19:05:35,127 [INFO] Logged on to server version 176
2026-08-09 19:05:35,133 [INFO] API connection ready
2026-08-09 19:05:35,250 [INFO] Synchronization complete
2026-08-09 19:05:35,250 [INFO] Connecté à IBKR sur 127.0.0.1:4002 (clientId=1, readonly=True).
2026-08-09 19:05:35,250 [INFO] Connecté à IBKR sur 127.0.0.1:4002 (clientId=1), marketDataType=4
2026-08-09 19:05:35,251 [INFO] [1/57] ADBE (Adobe Inc.)...
2026-08-09 19:05:43,089 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=265.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,090 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=267.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,090 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=267.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,090 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=272.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,090 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=272.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,090 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=275.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,090 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=275.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,091 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=277.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,091 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=277.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,091 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=282.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,091 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=282.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,091 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=285.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,091 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=285.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,091 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=287.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,092 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=287.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,092 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=292.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,092 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=292.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,092 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=295.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,092 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=295.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,092 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=297.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,093 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=297.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,093 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=302.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,093 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=302.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,093 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=305.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:43,094 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=305.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,466 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=307.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,468 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=307.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,469 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=315.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,469 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=315.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,470 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=325.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,471 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=325.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,471 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=335.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,472 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20271217', strike=335.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,475 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=197.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,476 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=197.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,476 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=202.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,477 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=202.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,477 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=205.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,477 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=205.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,477 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=207.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,478 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=207.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,478 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=212.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,478 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=212.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,478 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=215.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,478 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=215.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,478 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=217.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,479 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=217.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,479 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=222.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,479 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=222.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,479 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=225.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,479 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=225.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,479 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=227.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,479 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=227.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,480 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=232.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,480 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=232.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,480 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=235.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,480 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=235.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,480 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=237.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,480 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=237.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,480 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=242.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,481 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=242.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,481 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=245.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,481 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=245.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,483 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=247.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,483 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=247.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,483 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=252.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,483 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=252.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,483 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=255.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,484 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=255.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,484 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=257.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,484 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=257.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,484 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=262.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,484 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=262.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,484 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=265.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,484 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=265.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,485 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=267.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,485 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=267.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,485 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=272.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,485 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=272.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,485 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=275.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,485 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=275.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,485 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=277.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,486 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=277.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,486 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=282.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,486 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=282.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,486 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=285.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,486 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=285.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,486 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=287.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,487 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=287.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,487 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=292.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,487 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=292.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,487 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=295.0, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:46,488 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=295.0, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:48,921 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=297.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:48,921 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=297.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:48,921 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=302.5, right='C', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
2026-08-09 19:05:48,922 [WARNING] Unknown contract: Option(symbol='ADBE', lastTradeDateOrContractMonth='20280121', strike=302.5, right='P', multiplier='100', exchange='SMART', currency='USD', tradingClass='ADBE')
